protein,control_1,control_2,control_3,obesity_1,obesity_2,obesity_3
P28665,1419000000,406790000,1134900000,580080000,843110000,1136800000
P28666,26415000,29749000,39418000,17992000,25231000,64419000
P28740,NA,NA,NA,8646500,10739000,NA
P28843,125160000,90741000,210600000,352040000,407010000,388460000
P29341,2514700000,4145299999.999999,3808299999.999999,3595599999.9999995,3495299999.9999995,2903200000
P29351,19277000,48533000,115360000,41576000,17148000,NA
P29391;P49945,398810000,514040000,427290000,405220000,239320000,524790000
P29533,NA,NA,NA,18604000,NA,12838000
P29758,2260400000,2792600000,2843200000,3594999999.9999995,5276400000,5522800000
P29788,109880000,223660000,223230000,217020000,180900000,238260000
P30115,16351000000,20052000000,15415000000,9686100000,9974500000,9748400000
P30275,NA,41717000,80948000,NA,NA,NA
P30416,NA,NA,41673000,103140000,38730000,62796000
P30999,610400000,206290000,233350000,549390000,287000000,158050000
P31001,175700000,283920000,40014000,250600000,189980000,291830000
P31230,NA,NA,23860000,NA,NA,NA
P31651,72031000,79251000,49627000,NA,NA,51174000
P31786,3272199999.9999995,2011000000,2719900000,2452000000,2216200000,2724200000
P32020,30304000000,30003000000,26802000000,28214000000,28319000000,23007000000
P32067,92846000,53912000,62592000,27638000,36474000,29090000
P32233,NA,NA,NA,64207000,7436100,35311000
P32261,114260000,28649000,67498000,63314000,73733000,31270000
P33267,6883699999.999999,6003799999.999999,5868299999.999999,1167000000,967750000,1147300000
P33622,91885000,61647000,76046000,66353000,NA,82980000
P34152,NA,74064000,NA,57291000,133740000,251870000
P34884,89082000,164600000,208840000,NA,NA,NA
P34914,8046199999.999999,7039899999.999999,7214999999.999999,7655299999.999999,7426199999.999999,7293099999.999999
P34927,414100000,973810000,829850000,401070000,724660000,629590000
P34928,57236000,NA,NA,NA,28468000,NA
P35278,349780000,350650000,224330000,282160000,154970000,208750000
P35279;P61294;Q8BHD0,87803000,76461000,107280000,NA,60065000,68259000
P35293,108560000,357240000,320700000,423920000,458400000,465320000
P35486,466040000,676610000,657080000,330820000,589150000,481280000
P35492,605950000,776120000,703260000,457530000,382900000,396120000
P35505,3200299999.9999995,2787000000,3422199999.9999995,1893400000,2475300000,2439700000
P35550,370720000,258350000,271490000,29371000,8425500,26221000
P35564,3415499999.9999995,2682400000,4764000000,999780000,1692299999.9999998,1734599999.9999998
P35576,NA,18360000,14126000,NA,262230000,NA
P35585,NA,NA,NA,76289000,NA,22963000
P35700,14150000000,13446000000,14312000000,15568000000,13185000000,12319000000
P35922;Q9WVR4,NA,41753000,50690000,NA,8620100,8570600
P35951,NA,NA,NA,15940000,16756000,140040000
P35979,996440000,1053700000,1058300000,769120000,704480000,644370000
P35980,2827600000,2428500000,2359700000,576220000,850570000,736320000
P36371,NA,NA,NA,10377000,34873000,NA
P36552,363350000,233830000,223600000,325720000,353600000,137440000
P36916,NA,NA,NA,NA,NA,29951000
P36993,NA,NA,NA,31911000,23132000,NA
