protein,control_1,control_2,control_3,obesity_1,obesity_2,obesity_3
Q9DCN2,4034499999.999999,5037500000,4689300000,4328700000,4760200000,5215000000
Q9DCP2,NA,204080000,515270000,262700000,282150000,216300000
Q9DCQ2,136270000,239510000,257990000,147900000,380900000,316940000
Q9DCS2,NA,279220000,222210000,142720000,165940000,147430000
Q9DCS3,259680000,470550000,298470000,127900000,82276000,35045000
Q9DCS9,372190000,375830000,121660000,472490000,328770000,329720000
Q9DCT2,446290000,1839800000,1132800000,1105600000,855420000,1440100000
Q9DCT8,NA,NA,NA,NA,NA,28762000
Q9DCU9,1241000000,1264300000,1373200000,1072600000,1201400000,1347900000
Q9DCV4,NA,190630000,51664000,86601000,178060000,198710000
Q9DCW4,7311399999.999999,7855399999.999999,9544400000,9270500000,8956200000,9137000000
Q9DCX2,3498999999.9999995,3425399999.9999995,3570699999.9999995,1635799999.9999998,1657099999.9999998,1285600000
Q9DCX8,196990000,153130000,135460000,40231000,32364000,45262000
Q9DCY0,2599600000,2417400000,2596900000,212420000,306660000,355890000
Q9DCZ4,103890000,148350000,115310000,147450000,112320000,155310000
Q9DD20,1294100000,891390000,944430000,477260000,1556299999.9999998,1219700000
Q9EP69,139320000,180630000,195080000,149640000,211920000,74049000
Q9EP71,NA,NA,NA,NA,40182000,105570000
Q9EP75;Q99N16,NA,58447000,28019000,NA,NA,NA
Q9EP89,472790000,578270000,532590000,351170000,236830000,303540000
Q9EPC1;Q9ES46,15055000,10903000,15248000,NA,NA,40557000
Q9EPE9,5137400,29232000,39466000,NA,28067000,40686000
Q9EPJ9,NA,NA,NA,17713000,NA,23316000
Q9EPU0,231560000,179250000,351210000,560700000,483310000,154920000
Q9EPU4,NA,NA,NA,NA,15371000,NA
Q9EPX2,NA,NA,NA,44688000,59244000,72304000
Q9EQ06,128710000,NA,NA,236970000,NA,271390000
Q9EQ20,6542099999.999999,7258299999.999999,7012999999.999999,5355100000,5785600000,6823599999.999999
Q9EQ32,NA,37538000,NA,230980000,66250000,123820000
Q9EQC1,NA,NA,NA,65073000,99942000,75120000
Q9EQC5,NA,NA,NA,14386000,18179000,NA
Q9EQF5,279490000,539530000,898550000,1554499999.9999998,1448700000,1052300000
Q9EQH2,134350000,106440000,158650000,98123000,106160000,91495000
Q9EQH3,187950000,174440000,84408000,55566000,81164000,59578000
Q9EQJ9,47967000,44202000,45791000,NA,NA,NA
Q9EQK5,560930000,503910000,697560000,559380000,328450000,425630000
Q9EQU5,174360000,40169000,221520000,93206000,96040000,120720000
Q9ER41,NA,NA,NA,NA,13928000,14543000
Q9ER72,NA,32286000,NA,NA,NA,NA
Q9ER88,NA,NA,NA,41456000,28532000,NA
Q9ERG0,NA,NA,NA,25619000,23845000,22289000
Q9ERK4,23930000,20634000,56364000,NA,16242000,NA
Q9ERS2,552760000,758600000,788130000,744630000,596380000,537160000
Q9ERU9,25544000,36300000,NA,52071000,43661000,NA
Q9ES74,NA,46405000,48757000,NA,NA,NA
Q9ESP1,29056000,NA,NA,NA,NA,NA
Q9EST5,NA,NA,62102000,NA,NA,NA
Q9ESW4,20282000,NA,NA,NA,NA,NA
Q9ESX5,217230000,276980000,351100000,154700000,139090000,79718000
Q9ESZ8,101370000,99657000,111470000,122720000,194620000,300670000
Q9ET01;Q9WUB3;Q8CI94,6189199999.999999,6700099999.999999,8209199999.999999,3755199999.999999,3200999999.9999995,3752099999.999999
Q9ET30,43274000,59039000,37142000,NA,NA,NA
Q9ET54,NA,NA,18628000,NA,NA,22613000
Q9JHI5,2324900000,1754599999.9999998,1379500000,1004300000,1050500000,795690000
Q9JHJ0,64446000,NA,13615000,NA,35970000,27693000
Q9JHK4,NA,23374000,NA,NA,NA,NA
Q9JHL1,NA,NA,67667000,NA,NA,48637000
Q9JHR7,146640000,37225000,43086000,60005000,71967000,176980000
Q9JHS4,358670000,318580000,273290000,518730000,276150000,440180000
Q9JHU2,NA,NA,NA,NA,34312000,64485000
Q9JHU4,43420000,8602800,137000000,92726000,118780000,68623000
Q9JHW2,235320000,290890000,301990000,152320000,171800000,245570000
Q9JHW4,NA,263260000,46677000,106760000,86639000,44159000
Q9JI48,NA,NA,NA,19009000,NA,NA
Q9JI75,342460000,348370000,177800000,259400000,262490000,323840000
Q9JIF7,167380000,241890000,278970000,107570000,240170000,224250000
Q9JII5,69976000,204300000,72682000,81170000,64992000,80948000
Q9JII6,1701499999.9999998,1323200000,1943800000,1321600000,1213300000,1957800000
Q9JIK5,592130000,387950000,692030000,134840000,403040000,191630000
Q9JIL4,295300000,273480000,276250000,167370000,177700000,135950000
Q9JIZ0,165490000,NA,NA,NA,66777000,NA
Q9JJ28,NA,NA,100550000,8817300,NA,NA
Q9JJ59,1209700000,1286100000,1083600000,1620399999.9999998,1327700000,1744199999.9999998
Q9JJI8,190290000,188640000,261450000,76385000,105180000,80227000
Q9JJL3,175730000,233160000,192340000,130570000,309300000,368260000
Q9JJN5,NA,21731000,NA,47407000,60992000,42070000
Q9JJU8,94675000,16235000,NA,109390000,116540000,91618000
Q9JJW0,168140000,116780000,110030000,213540000,193240000,159360000
Q9JJW6,NA,NA,NA,38154000,42474000,46084000
Q9JK23,NA,NA,NA,NA,12341000,NA
Q9JK38,36368000,NA,NA,NA,NA,NA
Q9JK48,NA,36896000,NA,28617000,24097000,31377000
Q9JK53,3263599999.9999995,3413799999.9999995,2696600000,1871300000,3368099999.9999995,3239999999.9999995
Q9JK92,NA,NA,NA,93633000,215720000,210610000
Q9JKB1;P58321,NA,51920000,34496000,29500000,144100000,69323000
Q9JKC8;Q8R2R9,92139000,131460000,43342000,82295000,263290000,193910000
Q9JKF1,NA,22297000,NA,10801000,13621000,NA
Q9JKR6,3296399999.9999995,2877700000,1906300000,1026800000,1169400000,1254100000
Q9JKS5,19529000,NA,NA,NA,NA,NA
Q9JKV1,NA,NA,NA,5418800,NA,NA
Q9JKY5,NA,12068000,48706000,NA,83513000,NA
Q9JL15,123730000,146860000,112450000,235040000,373640000,219920000
Q9JLB0;Q9WV34,NA,46727000,43624000,NA,87223000,160790000
Q9JLF6,96020000,27304000,73346000,22767000,NA,10736000
Q9JLJ2,738620000,646130000,690310000,1262400000,1900000000,926000000
Q9JLJ4,NA,NA,NA,NA,33920000,46998000
Q9JLR9,71884000,62498000,70943000,52833000,61309000,59063000
Q9JLT4,145750000,39095000,261090000,19847000,93475000,27657000
Q9JLV1,137070000,88245000,142280000,310230000,388650000,618090000
Q9JLZ3,NA,94226000,NA,NA,112590000,119260000
Q9JM52;P97820;P83510,NA,5762800,8821000,98001000,NA,58500000
Q9JM62,452940000,60929000,487140000,1127000000,986970000,615400000
Q9JMD0,327380000,358600000,338390000,511590000,644300000,399710000
Q9JMD3,674650000,460610000,517970000,291390000,337300000,399220000
Q9JMG1,NA,102460000,100880000,NA,NA,NA
Q9JMH6,NA,33990000,26479000,178600000,NA,179370000
Q9JMH9,102620000,69712000,54178000,53340000,47124000,63716000
Q9QUH0,38834000,41919000,41227000,27030000,NA,37278000
Q9QUI0;Q62159;P62746,65048000,495370000,353450000,15544000,229270000,165890000
Q9QUJ7,342320000,299850000,248560000,30499000,25769000,NA
Q9R0T7;Q9QUK9,11881000000,14599000000,11673000000,15484000000,13792000000,15040000000
Q9QUM9,118290000,328440000,425080000,319090000,422550000,382310000
Q9QUR6,95438000,51048000,95595000,NA,NA,NA
Q9QXD1,1823200000,1464499999.9999998,2184800000,1650999999.9999998,1315100000,1606899999.9999998
Q9QXD6,4518800000,5335300000,6102799999.999999,7098199999.999999,6448899999.999999,6669199999.999999
Q9QXE0,1081500000,1779799999.9999998,1741799999.9999998,1275800000,953080000,1186400000
Q9QXF8,5350000000,5348000000,5292600000,3475399999.9999995,3765799999.999999,3710799999.999999
Q9QXG4,256790000,51339000,41235000,NA,NA,NA
Q9QXK7,13802000,NA,NA,7428900,NA,NA
Q9QXN3,61694000,27934000,NA,38684000,51936000,NA
Q9QXS1,1344800000,1332900000,1869400000,1113500000,958110000,948310000
Q9QXT0,NA,323920000,320030000,204000000,54693000,NA
Q9QXT5,NA,38227000,39280000,NA,NA,NA
Q9QXX4,5083400000,3589399999.9999995,4283699999.999999,4931600000,4361700000,4581000000
Q9QXY1,NA,35170000,NA,43424000,91145000,73723000
Q9QXY6,501230000,390880000,256190000,542810000,297510000,349630000
Q9QXY9,51080000,57752000,49542000,NA,NA,51962000
Q9QXZ6;Q99J94;Q9EP96,639630000,768160000,480780000,23762000,14082000,NA
Q9QY06,NA,NA,1712299999.9999998,NA,NA,NA
Q9QY30,885100000,957540000,906700000,556200000,565290000,617790000
Q9QY76,797380000,680780000,846740000,608610000,580270000,543070000
Q9QYA2,150940000,266230000,178020000,NA,27266000,20318000
Q9QYB1,18560000,46503000,NA,NA,NA,NA
Q9QYC7,35473000,NA,NA,74208000,NA,12686000
Q9QYG0,1337900000,1176200000,1120000000,1406900000,395110000,1095700000
Q9QYJ0,550420000,592210000,406160000,264490000,383720000,400020000
Q9QYJ3,NA,NA,NA,NA,NA,10595000
Q9QYX7,237230000,344210000,343710000,377070000,327810000,362980000
Q9QZ06,NA,NA,66412000,39523000,33211000,42101000
Q9QZ67,101140000,112330000,NA,428520000,498940000,447960000
Q9QZ85,299030000,194310000,198810000,64226000,NA,45201000
Q9QZ88,NA,NA,NA,12863000,23029000,16061000
Q9QZD8,396040000,420390000,547730000,1062200000,980290000,488370000
Q9QZD9,NA,NA,NA,47608000,NA,NA
Q9QZE5;Q9QXK3,209260000,413930000,300000000,133570000,532940000,87508000
Q9QZQ1,NA,NA,NA,223790000,438430000,344170000
Q9QZQ8;Q8CCK0,1280500000,669590000,879640000,449790000,449140000,423080000
Q9QZS0,NA,80816000,NA,NA,84224000,93745000
Q9QZS3,NA,NA,NA,152660000,NA,215950000
Q9QZW0,472660000,723190000,788830000,437310000,272690000,264320000
Q9QZX7,NA,47138000,92035000,49253000,12260000,20973000
Q9QZZ6,466740000,402170000,474250000,377400000,347300000,341330000
Q9R013,37143000,41461000,NA,NA,NA,NA
Q9R045,NA,16487000,18800000,27213000,NA,NA
Q9R092,NA,NA,NA,51773000,NA,85997000
Q9R099,99003000,135070000,NA,NA,88640000,62064000
Q9R0A0,140120000,176780000,150530000,118690000,171260000,197300000
Q9R0H0,23645000000,23018000000,21825000000,29271000000,33628000000,32628000000
Q9R0M3,NA,9242100,NA,NA,NA,NA
Q9R0N0,97977000,250520000,245750000,148810000,218790000,167440000
Q9R0P3,786780000,1037000000,891620000,427870000,617050000,882140000
Q9R0P5,NA,NA,76901000,65774000,50005000,141090000
Q9R0P6,32580000,58599000,249130000,NA,NA,NA
Q9R0Q3,44726000,111490000,NA,NA,11260000,NA
Q9R0Q9,64852000,53874000,75720000,221630000,NA,44568000
Q9R0U0,85767000,21663000,17787000,NA,NA,NA
Q9R112,818340000,687650000,654550000,283340000,212430000,342590000
Q9R1C7,NA,NA,NA,17215000,NA,NA
Q9R1J0,428490000,412510000,261790000,164220000,139620000,356090000
Q9R1K9,NA,17129000,NA,NA,NA,25882000
Q9R1P0,72649000,37313000,34359000,NA,NA,NA
Q9R1P1,169320000,270320000,124040000,49887000,43736000,158450000
Q9R1P3,78603000,68363000,75817000,183000000,NA,NA
Q9R1P4,NA,76085000,158750000,NA,NA,NA
Q9R1S7,101700000,81611000,179760000,41704000,98037000,55348000
Q9R1Z8,NA,NA,NA,186220000,86317000,229740000
Q9R233,NA,NA,37496000,18371000,18361000,24063000
Q9R257,NA,NA,NA,NA,NA,26237000
Q9WTI7,181060000,357480000,164890000,373100000,367160000,398130000
Q9WTM5,NA,27150000,37939000,31605000,NA,NA
Q9WTP6,2744400000,2076300000,2881800000,2681500000,2640700000,2430200000
Q9WTP7,1284600000,1651199999.9999998,1269600000,873990000,903250000,841920000
Q9WTQ8,32154000,NA,NA,69494000,96783000,58809000
Q9WTX5,35152000,35047000,31059000,NA,NA,NA
Q9WU19,92070000,485080000,208090000,151550000,60486000,NA
Q9WU78,847870000,887300000,701880000,2036800000,2377800000,2364600000
Q9WU79,1276500000,910970000,1468899999.9999998,829090000,937050000,628920000
Q9WU84,NA,NA,NA,27869000,NA,31520000
Q9WUA2,255870000,190700000,65942000,NA,NA,NA
Q9WUK2,288190000,346430000,327460000,303390000,321250000,448810000
Q9WUM3,NA,NA,66828000,NA,NA,NA
Q9WUM4,32608000,NA,44377000,NA,NA,NA
Q9WUM5,2257600000,2500900000,3186399999.9999995,1459199999.9999998,1405600000,1356900000
Q9WUQ2,NA,NA,NA,NA,57905000,NA
Q9WUR2;Q78JN3,413230000,709870000,644270000,821300000,866880000,685310000
Q9WUR9,1372100000,131000000,69010000,95466000,42947000,81490000
Q9WUU7,787510000,NA,228210000,NA,NA,NA
Q9WUZ9,366630000,407140000,509960000,835470000,667510000,855760000
Q9WV54,17197000,47801000,82440000,13109000,NA,17096000
Q9WV55,356530000,392780000,NA,115040000,257660000,87791000
Q9WV68,1207000000,1221800000,1315000000,2036200000,2713600000,3573999999.9999995
Q9WV85,9835900,18482000,18688000,9412800,10637000,12309000
Q9WV86,240310000,NA,225570000,NA,NA,NA
Q9WV98,214020000,NA,68265000,40999000,65715000,112720000
Q9WVA2;Q4FZG7,432130000,472520000,489520000,353370000,569620000,653360000
Q9WVA3,NA,156110000,105430000,373530000,296550000,221210000
Q9WVA4,101410000,32376000,NA,NA,NA,28848000
Q9WVB0,75755000,59078000,61725000,197570000,54596000,202540000
Q9WVD5,684960000,1103600000,1173400000,192330000,302570000,168750000
Q9WVE8,224540000,134440000,275580000,41938000,108360000,101160000
Q9WVH9,204650000,413910000,217500000,44162000,459870000,126500000
Q9WVJ2,101630000,161540000,132840000,NA,114900000,126110000
Q9WVJ3,72835000,NA,NA,NA,NA,NA
Q9WVK4,NA,26978000,NA,16628000,15040000,NA
Q9WVL0,4127099999.999999,3953699999.999999,4354400000,3976599999.999999,4149699999.999999,4046599999.999999
Q9WVL2,55534000,62549000,44906000,50803000,NA,41894000
Q9WVM8,1029700000,807720000,1023900000,230490000,213200000,153920000
Q9Z0E6,NA,NA,NA,NA,13141000,NA
Q9Z0G0,NA,NA,NA,NA,NA,20852000
Q9Z0G9,29390000,NA,NA,40051000,49705000,36423000
Q9Z0K8,296770000,286550000,260540000,546170000,494340000,435300000
Q9Z0N2,48002000,147750000,341750000,336230000,347870000,407760000
Q9Z0R9,78104000,46337000,121110000,100050000,124580000,136590000
Q9Z0S1,119400000,161810000,100510000,NA,16856000,NA
Q9Z0U1,239980000,27670000,NA,240600000,120350000,125270000
Q9Z0X1,3185999999.9999995,3000099999.9999995,2692300000,1789499999.9999998,1860500000,2761600000
Q9Z108,48083000,67169000,92209000,125380000,59350000,209980000
Q9Z110,60968000,NA,51669000,NA,NA,NA
Q9Z130,892830000,1066200000,1010500000,265110000,250500000,202510000
Q9Z1D1,NA,NA,24310000,106710000,169330000,NA
Q9Z1J3,255030000,262140000,200560000,152530000,155830000,131570000
Q9Z1M8,26060000,NA,40488000,NA,13038000,16265000
Q9Z1N5,443290000,329520000,789950000,40051000,39659000,102050000
Q9Z1P6,58393000,42183000,196240000,199260000,134430000,32117000
Q9Z1Q9,289580000,365050000,628500000,131230000,245760000,121550000
Q9Z1R2,56469000,48308000,NA,NA,86749000,48841000
Q9Z1T1,NA,67739000,52586000,81633000,64065000,150690000
Q9Z1X4,242810000,444680000,557970000,NA,NA,NA
Q9Z1Z0,196370000,110400000,141590000,62920000,36050000,84939000
Q9Z1Z2,77494000,164130000,169850000,NA,62848000,123220000
Q9Z204,2482000000,3177299999.9999995,3038499999.9999995,683470000,339980000,592680000
Q9Z211,NA,NA,NA,133470000,NA,69304000
Q9Z2G9,NA,NA,68823000,60980000,66774000,70525000
Q9Z2I0,638850000,938960000,960080000,357770000,544040000,293930000
Q9Z2I8,4158299999.999999,4717800000,5158200000,4173999999.999999,5408900000,5574500000
Q9Z2I9,1644799999.9999998,1513899999.9999998,2876000000,1319400000,1128500000,1861900000
Q9Z2Q5,20141000,NA,NA,23210000,21008000,32645000
Q9Z2U0;Q9CWH6,723290000,122420000,611290000,648320000,689240000,646410000
Q9Z2U1,646000000,383520000,473830000,396070000,528750000,492480000
Q9Z2V4,1063100000,907830000,856760000,261450000,212510000,253380000
Q9Z2W0,NA,NA,NA,72178000,NA,55230000
Q9Z2X1,997100000,741120000,947650000,2303100000,1664799999.9999998,2281300000
Q9Z2Y3,NA,NA,NA,NA,46304000,NA
Q9Z2Y8,52127000,73839000,59628000,NA,43830000,36438000
Q9Z2Z6,755210000,401690000,1006900000,1227100000,1501299999.9999998,1598999999.9999998
